,title,date,content
0,Air Liquide: projet d'une usine d'hydrogène en Corée,2023-12-04 13:02:00,"['lor', 'sk', 'e', 's', 'a', 'sign', 'protocol', 'mondial', 'construct', 'plus', 'grand', 'usin', 'faibl', 'teneur', 'carbon', 'cor', 'partenair', 'mondial', 'gouvern', 'local', 'le', 'contrat', 'port', 'mis', 'plac', 'projet', 'bas', 'carbon', 'cor', 'ge', 'vernov', 'air', 'liquid', 'engineering', 'construct', 'kor', 'midland', 'pow', 'air', 'liquid', 'engineering', 'construct', 'équip', 'product', 'liquéfact', 'tand', 'ge', 'fabriqu', 'turbin', 'naturel', 'le', 'projet', 'situ', 'vill', 'boryeong', 'région', 'situ', 'centr', 'républ', 'cor', 'popul', 'million', 'grâc', 'cet', 'accord', 'sk', 'e', 's', 'jou', 'rôl', 'clé', 'product', 'ton', 'faibl', 'teneur', 'carbon', 'an', 'mobil', 'product']"
1,Air Liquide: nouveaux PPA avec Sasol en Afrique du Sud,2023-11-21 09:23:00,"['air', 'liquid', 'a', 'annonc', 'mard', 'avoir', 'sign', 'nouveau', 'contrat', 'long', 'term', 'sasol', 'port', 'capac', 'renouvel', 'mw', 'niveau', 'sit', 'secund', 'le', 'partenariat', 'a', 'conclu', 'fournisseur', 'éolien', 'solair', 'mainstream', 'renew', 'pow', 'a', 'charg', 'construir', 'ferm', 'solair', 'devr', 'être', 'opérationnel', 'il', 'troisiem', 'ser', 'conclus', 'air', 'liquid', 'sasol', 'apres', 'ceux', 'déjà', 'annonc', 'début', 'enel', 'green', 'pow', 'totalenerg', 'partenair', 'mulilo', 'ce', 'accord', 'doivent', 'contribu', 'liquid', 'réduir', 'émiss', 'li', 'product', 'secund', 'où', 'group', 'exploit', 'plus', 'grand', 'sit', 'product', 'mond', 'pour', 'mémoir', 'air', 'liquid', 'a', 'rachet', 'sasol', 'unit', 'product', 'derni', 'secund', 'exploit', 'désorm', 'depuis', 'juin', 'en', 'ten', 'compt', 'autr', 'unit', 'sépar', 'gaz', 'asu', 'group', 'oper', 'déjà', 'sasol', 'air', 'liquid', 'exploit', 'total', 'asu', 'secund', 'capac', 'total', 'ton', 'jour']"
2,Air Liquide: allié à Eneos pour l'hydrogène bas carbone,2023-11-15 09:28:00,"['air', 'liquid', 'annonc', 'signatur', 'eneos', 'corpor', 'lead', 'japon', 'protocol', 'étudi', 'développ', 'product', 'bas', 'carbon', 'recour', 'auss', 'bien', 'technolog', 'ccus', 'en', 'outr', 'deux', 'group', 'examin', 'possibil', 'collabor', 'mati', 'développ', 'chaîn', 'logist', 'international', 'liquid', 'approvision', 'march', 'japon', 'part', 'enfin', 'partenariat', 'étudi', 'initi', 'commun', 'développ', 'mobil', 'hydrogen', 'japon', 'compr', 'vi', 'infrastructur', 'collabor', 'mati', 'chaîn', 'valeur']"
3,Air Liquide: inaugure une usine avec Siemens à Berlin,2023-11-08 17:27:00,"['air', 'liquid', 'siemen', 'officiel', 'inaugur', 'mercred', 'nouvel', 'usin', 'berlinois', 'destin', 'product', 'hydrogen', 'renouvel', 'grand', 'taill', 'cet', 'entré', 'product', 'représent', 'invest', 'quelqu', 'million', 'doit', 'préced', 'mont', 'puissanc', 'anné', 'viennent', 'object', 'capac', 'annuel', 'trois', 'gigawatt', 'a', 'titr', 'puissanc', 'trois', 'gigawatt', 'cens', 'permettr', 'product', 'annuel', 'ton', 'métriqu', 'vert', 'consomm', 'théoriqu', 'grand', 'vill', 'comm', 'aachen', 'allemagn', 'habit', 'premi', 'projet', 'concern', 'celui', 'air', 'liquid', 'doit', 'affich', 'capac', 'mégawatt', 'premi', 'phas', 'dont', 'prévu', 'franc', 'déroul', 'présenc', 'chanceli', 'allemand', 'olaf', 'scholz', 'patron', 'siemen', 'energy', 'christian', 'bruch', 'directeur', 'général', 'liquid', 'francois', 'jackow']"
4,Air Liquide: offre de rachat partiel d'obligations,2023-11-06 14:15:00,"['air', 'liquid', 'annonc', 'lanc', 'offre', 'rachat', 'partiel', 'numérair', 'mont', 'maximum', 'total', 'million', 'principal', 'oper', 'particip', 'structur', 'financ', 'group', 'cet', 'offre', 'port', 'trois', 'souch', 'obligatair', 'ven', 'matur', 'juin', 'avril', 'port', 'coupon', 'respect', 'ce', 'oblig', 'admis', 'négoci', 'march', 'réglement', 'bours', 'luxembourg', 'rachat', 'ouvert', 'novembr', 'jusqu', 'heur', 'paris', 'novembr', 'résultat', 'final', 'annonc', 'novembr', 'des', 'possibl', 'apres', 'fixat', 'prix', 'oblig', 'échéanc', 'avril']"
5,Air Liquide: début d'une opération d'actionnariat salarié,2023-10-31 07:08:00,"['air', 'liquid', 'annonc', 'oper', 'capital', 'réserv', 'salari', 'oper', 'couvr', 'pres', 'soix', 'pay', 'encor', 'davantag', 'collabor', 'développ', 'group', 'perform', 'dur', 'le', 'prix', 'souscript', 'action', 'a', 'fix', 'euros', 'port', 'nombr', 'maximum', 'action', 'la', 'périod', 'souscript', 'déroul', 'novembr', 'heur', 'novembr', 'mid', 'heur', 'paris', 'le', 'nouvel', 'action', 'immédiat', 'assimil', 'ancien', 'bénéfici', 'mêm', 'droit', 'elle', 'bloqu', 'pend', 'cinq', 'an', 'sauf', 'cas', 'déblocag', 'anticip', 'prévus', 'réglement', 'applic', 'franc', 'pay', 'particip']"
6,"Air Liquide: hausse de 1,5% du CA trimestriel en comparable",2023-10-25 08:40:00,"['air', 'liquid', 'affich', 'chiffr', 'milliard', 'titr', 'troisiem', 'trimestr', 'chut', 'don', 'brut', 'fait', 'baiss', 'prix', 'effet', 'chang', 'négat', 'hauss', 'don', 'compar', 'gaz', 'servic', 'représent', 'chiffr', 'group', 'inscrit', 'hauss', 'compar', 'marchand', 'sant', 'moteur', 'croissanc', 'cet', 'activ', 'pour', 'air', 'liquid', 'dit', 'confi', 'capac', 'augment', 'nouveau', 'marg', 'opérationnel', 'réalis', 'croissanc', 'résultat', 'net', 'récurrent', 'chang', 'const', 'perspect', 'décis', 'record']"
7,Air Liquide: plateforme pour du gaz bas carbone au Québec,2023-10-25 07:43:00,"['air', 'liquid', 'annonc', 'création', 'plateform', 'innov', 'product', 'gaz', 'bas', 'carbon', 'parm', 'lesquel', 'bécancour', 'québec', 'représent', 'invest', 'plus', 'million', 'group', 'va', 'mettr', 'plac', 'comprendr', 'nouvel', 'unit', 'product', 'renouvel', 'ains', 'capac', 'stockag', 'liquid', 'reli', 'réseau', 'canalis', 'local', 'mieux', 'serv', 'client', 'la', 'nouvel', 'plateform', 'approvision', 'principal', 'cadr', 'contrat', 'long', 'term', 'client', 'fabriqu', 'compos', 'batter', 'véhicul', 'électr', 'elle', 'devr', 'être', 'opérationnel']"
8,Air Liquide: contrat PPA conclu avec Vattenfall au Benelux,2023-10-24 09:21:00,"['air', 'liquid', 'a', 'annonc', 'mard', 'allait', 'assur', 'besoin', 'électr', 'renouvel', 'benelux', 'grâc', 'signatur', 'nouveau', 'contrat', 'long', 'term', 'suédois', 'vattenfall', 'le', 'producteur', 'gaz', 'industriel', 'expliqu', 'second', 'contrat', 'renouvel', 'ppa', 'conclu', 'compagn', 'scandinav', 'puissanc', 'install', 'mw', 'va', 'permettr', 'renforc', 'signific', 'approvision', 'région', 'sign', 'dur', 'an', 'compt', 'nouveau', 'ppa', 'port', 'puissanc', 'install', 'total', 'product', 'renouvel', 'disposit', 'liquid', 'environ', 'mw', 'benelux', 'plus', 'consomm', 'actuel', 'région', 'cet', 'électr', 'doit', 'êtrer', 'géner', 'parc', 'éolien', 'offshor', 'hollands', 'kust', 'zuid', 'hkz', 'vattenfall', 'situ', 'larg', 'côt', 'néerlandais']"
9,"Air Liquide : gare à la cassure des 154,75E",2023-10-20 14:27:00,"['la', 'pépit', 'air', 'liquid', 'valid', 'cassur', 'support', 'juillet', 'entam', 'mouv', 'correct', 'direct', 'pali', 'soutien', 'test', 'mar', 'derni', 'suiv', 'planch', 'fvri', 'derni', 'niveau', 'coïncid', 'vec', 'retrac', 'hauss', 'septembr', 'depuis', 'planch']"
