date,content,cleaned_article_stemming,cleaned_article_lemmatization
2023-12-04,"Lors de la COP28, SK E&S a signé un protocole d'accord mondial pour la construction de la plus grande usine d'hydrogène à faible teneur en carbone en Corée avec ses partenaires mondiaux et le gouvernement local. Le contrat porte sur la mise en place d'un projet d'hydrogène bas carbone en Corée avec GE Vernova, Air Liquide Engineering & Construction, Chungcheongnam-do, Korea Midland Power. Air Liquide Engineering & Construction s'occupera des équipements de production d'hydrogène et de liquéfaction, tandis que GE fabriquera des turbines co-alimentées hydrogène/gaz naturel. Le projet est situé dans la ville de Boryeong dans la région de Chungcheongnam-do qui est situé dans le centre de la République de Corée, avec une population d'environ 2 millions d'habitants. Grâce à cet accord, SK E&S jouera un rôle clé dans la production et l'approvisionnement de 250 000 tonnes d'hydrogène à faible teneur en carbone par an et l'utilisera pour la mobilité et la production d'électricité.","['lor', 'sk', 'e', 's', 'a', 'sign', 'protocol', 'mondial', 'construct', 'plus', 'grand', 'usin', 'faibl', 'teneur', 'carbon', 'cor', 'partenair', 'mondial', 'gouvern', 'local', 'le', 'contrat', 'port', 'mis', 'plac', 'projet', 'bas', 'carbon', 'cor', 'ge', 'vernov', 'engineering', 'construct', 'kor', 'midland', 'pow', 'engineering', 'construct', 'équip', 'product', 'liquéfact', 'tand', 'ge', 'fabriqu', 'turbin', 'naturel', 'le', 'projet', 'situ', 'vill', 'boryeong', 'région', 'situ', 'centr', 'républ', 'cor', 'popul', 'million', 'grâc', 'cet', 'accord', 'sk', 'e', 's', 'jou', 'rôl', 'clé', 'product', 'ton', 'faibl', 'teneur', 'carbon', 'an', 'mobil', 'product']","['Lors', 'SK', 'E', 'S', 'a', 'signé', 'protocole', 'mondial', 'construction', 'plus', 'grande', 'usine', 'faible', 'teneur', 'carbone', 'Corée', 'partenaires', 'mondiaux', 'gouvernement', 'local', 'Le', 'contrat', 'porte', 'mise', 'place', 'projet', 'ba', 'carbone', 'Corée', 'GE', 'Vernova', 'Air', 'Liquide', 'Engineering', 'Construction', 'Korea', 'Midland', 'Power', 'Air', 'Liquide', 'Engineering', 'Construction', 'équipements', 'production', 'liquéfaction', 'tandis', 'GE', 'fabriquera', 'turbine', 'naturel', 'Le', 'projet', 'situé', 'ville', 'Boryeong', 'région', 'situé', 'centre', 'République', 'Corée', 'population', 'million', 'Grâce', 'cet', 'accord', 'SK', 'E', 'S', 'jouera', 'rôle', 'clé', 'production', 'tonne', 'faible', 'teneur', 'carbone', 'an', 'mobilité', 'production']"
2023-11-21,"Air Liquide a annoncé mardi avoir signé de nouveaux contrats de long terme avec le sud-africain Sasol portant sur des capacités d'électricité renouvelable de 100 MW au niveau du site de Secunda. Le partenariat a été conclu avec le fournisseur d'énergie éolienne et solaire Mainstream Renewable Power, qui a été chargé de construire une ferme solaire qui devrait être opérationnelle en 2025. Il s'agit de la troisième série de 'PPA' conclus par Air Liquide et Sasol, après ceux déjà annoncés en début d'année avec Enel Green Power et avec TotalEnergies et son partenaire Mulilo. Ces accords doivent contribuer à l'objectif d'Air Liquide de réduire de 30% à 40% les émissions de CO2 liées à la production d'oxygène d'ici 2031 à Secunda, où le groupe exploite le plus grand site de production d'oxygène au monde. Pour mémoire, Air Liquide a racheté à Sasol les 16 unités de production d'oxygène de ce dernier à Secunda, qu'il exploite désormais depuis juin 2021. En tenant compte d'une autre unité de séparation des gaz de l'air (ASU) que le groupe opérait déjà pour Sasol, Air Liquide exploite un total de 17 ASU à Secunda, pour une capacité totale de 47.000 tonnes d'oxygène par jour.","['a', 'annonc', 'mard', 'avoir', 'sign', 'nouveau', 'contrat', 'long', 'term', 'sasol', 'port', 'capac', 'renouvel', 'mw', 'niveau', 'sit', 'secund', 'le', 'partenariat', 'a', 'conclu', 'fournisseur', 'éolien', 'solair', 'mainstream', 'renew', 'pow', 'a', 'charg', 'construir', 'ferm', 'solair', 'devr', 'être', 'opérationnel', 'il', 'troisiem', 'ser', 'conclus', 'sasol', 'apres', 'ceux', 'déjà', 'annonc', 'début', 'enel', 'green', 'pow', 'totalenerg', 'partenair', 'mulilo', 'ce', 'accord', 'doivent', 'contribu', 'réduir', 'émiss', 'li', 'product', 'secund', 'où', 'group', 'exploit', 'plus', 'grand', 'sit', 'product', 'mond', 'pour', 'mémoir', 'a', 'rachet', 'sasol', 'unit', 'product', 'derni', 'secund', 'exploit', 'désorm', 'depuis', 'juin', 'en', 'ten', 'compt', 'autr', 'unit', 'sépar', 'gaz', 'asu', 'group', 'oper', 'déjà', 'sasol', 'exploit', 'total', 'asu', 'secund', 'capac', 'total', 'ton', 'jour']","['Air', 'Liquide', 'a', 'annoncé', 'mardi', 'avoir', 'signé', 'nouveaux', 'contrats', 'long', 'terme', 'Sasol', 'portant', 'capacités', 'renouvelable', 'MW', 'niveau', 'site', 'Secunda', 'Le', 'partenariat', 'a', 'conclu', 'fournisseur', 'éolienne', 'solaire', 'Mainstream', 'Renewable', 'Power', 'a', 'chargé', 'construire', 'ferme', 'solaire', 'devrait', 'être', 'opérationnelle', 'Il', 'troisième', 'série', 'conclus', 'Air', 'Liquide', 'Sasol', 'après', 'ceux', 'déjà', 'annoncés', 'début', 'Enel', 'Green', 'Power', 'TotalEnergies', 'partenaire', 'Mulilo', 'Ces', 'accord', 'doivent', 'contribuer', 'Liquide', 'réduire', 'émissions', 'liées', 'production', 'Secunda', 'où', 'groupe', 'exploite', 'plus', 'grand', 'site', 'production', 'monde', 'Pour', 'mémoire', 'Air', 'Liquide', 'a', 'racheté', 'Sasol', 'unités', 'production', 'dernier', 'Secunda', 'exploite', 'désormais', 'depuis', 'juin', 'En', 'tenant', 'compte', 'autre', 'unité', 'séparation', 'gaz', 'ASU', 'groupe', 'opérait', 'déjà', 'Sasol', 'Air', 'Liquide', 'exploite', 'total', 'ASU', 'Secunda', 'capacité', 'totale', 'tonne', 'jour']"
2023-11-15,"Air Liquide annonce la signature avec Eneos Corporation, leader japonais de l'énergie, d'un protocole d'accord pour étudier le développement de la production d'hydrogène bas carbone, en ayant recours aussi bien aux technologies de CCUS que d'électrolyse. En outre, les deux groupes examineront les possibilités de collaborations en matière de développement d'une chaîne logistique internationale d'hydrogène liquide pour approvisionner le marché japonais à partir de l'étranger. Enfin, ce partenariat étudiera des initiatives communes pour développer la mobilité hydrogène au Japon, y compris via une infrastructure de stations-service d'hydrogène, et une collaboration en matière d'innovation sur la chaîne de valeur de l'hydrogène.","['annonc', 'signatur', 'eneos', 'corpor', 'lead', 'japon', 'protocol', 'étudi', 'développ', 'product', 'bas', 'carbon', 'recour', 'auss', 'bien', 'technolog', 'ccus', 'en', 'outr', 'deux', 'group', 'examin', 'possibil', 'collabor', 'mati', 'développ', 'chaîn', 'logist', 'international', 'approvision', 'march', 'japon', 'part', 'enfin', 'partenariat', 'étudi', 'initi', 'commun', 'développ', 'mobil', 'hydrogen', 'japon', 'compr', 'vi', 'infrastructur', 'collabor', 'mati', 'chaîn', 'valeur']","['Air', 'Liquide', 'annonce', 'signature', 'Eneos', 'Corporation', 'leader', 'japonais', 'protocole', 'étudier', 'développement', 'production', 'ba', 'carbone', 'recours', 'aussi', 'bien', 'technology', 'CCUS', 'En', 'outre', 'deux', 'groupes', 'examineront', 'possibilités', 'collaboration', 'matière', 'développement', 'chaîne', 'logistique', 'internationale', 'liquide', 'approvisionner', 'marché', 'japonais', 'partir', 'Enfin', 'partenariat', 'étudiera', 'initiative', 'commune', 'développer', 'mobilité', 'hydrogène', 'Japon', 'compris', 'via', 'infrastructure', 'collaboration', 'matière', 'chaîne', 'valeur']"
2023-11-08,"Air Liquide et Siemens ont officiellement inauguré ce mercredi leur nouvelle usine berlinoise, destinée à la production d'électrolyseurs hydrogène renouvelable de grande taille. Cette entrée en production - qui représente un investissement de quelque 30 millions d'euros - doit précéder une montée en puissance dans les années qui viennent, avec un objectif de capacité annuelle de trois gigawatts d'ici 2025. A titre d'indication, une puissance de trois gigawatts est censée permettre la production annuelle de 300.000 tonnes métriques d'hydrogène vert, soit l'équivalent de la consommation théorique d'une grande ville comme Aachen en Allemagne (260.000 habitants). L'un des premiers projets concernés est celui de l'électrolyseur Air Liquide Normand'Hy, qui doit afficher une capacité de 200 mégawatts dans une première phase et dont l'assemblage est prévu en France. L'inauguration s'est déroulée en présence du Chancelier allemand Olaf Scholz, du patron de Siemens Energy Christian Bruch et du directeur général d'Air Liquide, Francois Jackow.","['siemen', 'officiel', 'inaugur', 'mercred', 'nouvel', 'usin', 'berlinois', 'destin', 'product', 'hydrogen', 'renouvel', 'grand', 'taill', 'cet', 'entré', 'product', 'représent', 'invest', 'quelqu', 'million', 'doit', 'préced', 'mont', 'puissanc', 'anné', 'viennent', 'object', 'capac', 'annuel', 'trois', 'gigawatt', 'a', 'titr', 'puissanc', 'trois', 'gigawatt', 'cens', 'permettr', 'product', 'annuel', 'ton', 'métriqu', 'vert', 'consomm', 'théoriqu', 'grand', 'vill', 'comm', 'aachen', 'allemagn', 'habit', 'premi', 'projet', 'concern', 'celui', 'doit', 'affich', 'capac', 'mégawatt', 'premi', 'phas', 'dont', 'prévu', 'franc', 'déroul', 'présenc', 'chanceli', 'allemand', 'olaf', 'scholz', 'patron', 'siemen', 'energy', 'christian', 'bruch', 'directeur', 'général', 'francois', 'jackow']","['Air', 'Liquide', 'Siemens', 'officiellement', 'inauguré', 'mercredi', 'nouvelle', 'usine', 'berlinoise', 'destinée', 'production', 'hydrogène', 'renouvelable', 'grande', 'taille', 'Cette', 'entrée', 'production', 'représente', 'investissement', 'quelque', 'million', 'doit', 'précéder', 'montée', 'puissance', 'années', 'viennent', 'objectif', 'capacité', 'annuelle', 'trois', 'gigawatts', 'A', 'titre', 'puissance', 'trois', 'gigawatts', 'censée', 'permettre', 'production', 'annuelle', 'tonne', 'métriques', 'vert', 'consommation', 'théorique', 'grande', 'ville', 'comme', 'Aachen', 'Allemagne', 'habitant', 'premier', 'projets', 'concernés', 'celui', 'Air', 'Liquide', 'doit', 'afficher', 'capacité', 'mégawatts', 'première', 'phase', 'dont', 'prévu', 'France', 'déroulée', 'présence', 'Chancelier', 'allemand', 'Olaf', 'Scholz', 'patron', 'Siemens', 'Energy', 'Christian', 'Bruch', 'directeur', 'général', 'Liquide', 'Francois', 'Jackow']"
2023-11-06,"Air Liquide annonce le lancement d'une offre de rachat partiel en numéraire, pour un montant maximum d'acceptation total de 300 millions d'euros en principal d'obligations, une opération qui participera à l'optimisation de la structure de financement du groupe. Cette offre porte sur trois souches obligataires venant à maturité en juin 2024 ou en avril 2025, et portant des coupons de respectivement 1,875%, 0,750% et 1,000%. Ces obligations sont admises aux négociations sur le marché réglementé de la Bourse de Luxembourg. L'offre de rachat sera ouverte de ce 6 novembre jusqu'à 16h00 (heure de Paris) le 13 novembre et son résultat final sera annoncé le 14 novembre dès que possible après l'heure de fixation du prix des obligations à échéance avril 2025.","['annonc', 'lanc', 'offre', 'rachat', 'partiel', 'numérair', 'mont', 'maximum', 'total', 'million', 'principal', 'oper', 'particip', 'structur', 'financ', 'group', 'cet', 'offre', 'port', 'trois', 'souch', 'obligatair', 'ven', 'matur', 'juin', 'avril', 'port', 'coupon', 'respect', 'ce', 'oblig', 'admis', 'négoci', 'march', 'réglement', 'bours', 'luxembourg', 'rachat', 'ouvert', 'novembr', 'jusqu', 'heur', 'paris', 'novembr', 'résultat', 'final', 'annonc', 'novembr', 'des', 'possibl', 'apres', 'fixat', 'prix', 'oblig', 'échéanc', 'avril']","['Air', 'Liquide', 'annonce', 'lancement', 'offre', 'rachat', 'partiel', 'numéraire', 'montant', 'maximum', 'total', 'million', 'principal', 'opération', 'participera', 'structure', 'financement', 'groupe', 'Cette', 'offre', 'porte', 'trois', 'souches', 'obligataires', 'venant', 'maturité', 'juin', 'avril', 'portant', 'coupon', 'respectivement', 'Ces', 'obligation', 'admises', 'négociations', 'marché', 'réglementé', 'Bourse', 'Luxembourg', 'rachat', 'ouverte', 'novembre', 'jusqu', 'heure', 'Paris', 'novembre', 'résultat', 'final', 'annoncé', 'novembre', 'dès', 'possible', 'après', 'fixation', 'prix', 'obligation', 'échéance', 'avril']"
2023-10-31,"Air Liquide annonce une opération d'augmentation de capital réservée aux salariés, opération qui couvrira près de soixante pays, pour 'associer encore davantage ses collaborateurs au développement du groupe et à ses performances dans la durée'. Le prix de souscription des actions a été fixé à 126,49 euros, et l'opération portera sur un nombre maximum de 750.000 actions. La période de souscription se déroulera du 6 novembre à 9 heures au 16 novembre à midi (heure de Paris). Les nouvelles actions seront immédiatement assimilées aux anciennes et bénéficieront des mêmes droits. Elles seront bloquées pendant cinq ans, sauf cas de déblocage anticipé prévus par les réglementations applicables en France et dans les pays participants.","['annonc', 'oper', 'capital', 'réserv', 'salari', 'oper', 'couvr', 'pres', 'soix', 'pay', 'encor', 'davantag', 'collabor', 'développ', 'group', 'perform', 'dur', 'le', 'prix', 'souscript', 'action', 'a', 'fix', 'euros', 'port', 'nombr', 'maximum', 'action', 'la', 'périod', 'souscript', 'déroul', 'novembr', 'heur', 'novembr', 'mid', 'heur', 'paris', 'le', 'nouvel', 'action', 'immédiat', 'assimil', 'ancien', 'bénéfici', 'mêm', 'droit', 'elle', 'bloqu', 'pend', 'cinq', 'an', 'sauf', 'cas', 'déblocag', 'anticip', 'prévus', 'réglement', 'applic', 'franc', 'pay', 'particip']","['Air', 'Liquide', 'annonce', 'opération', 'capital', 'réservée', 'salariés', 'opération', 'couvrira', 'près', 'soixante', 'pay', 'encore', 'davantage', 'collaborateurs', 'développement', 'groupe', 'performance', 'durée', 'Le', 'prix', 'souscription', 'action', 'a', 'fixé', 'euro', 'portera', 'nombre', 'maximum', 'action', 'La', 'période', 'souscription', 'déroulera', 'novembre', 'heures', 'novembre', 'midi', 'heure', 'Paris', 'Les', 'nouvelles', 'action', 'immédiatement', 'assimilées', 'anciennes', 'bénéficieront', 'mêmes', 'droits', 'Elles', 'bloquées', 'pendant', 'cinq', 'an', 'sauf', 'ca', 'déblocage', 'anticipé', 'prévus', 'réglementations', 'applicables', 'France', 'pay', 'participant']"
2023-10-25,"Air Liquide affiche un chiffre d'affaires de 6,81 milliards d'euros au titre du troisième trimestre 2023, en chute de 17,4% en données brutes du fait de la baisse des prix de l'énergie et d'un effet de change négatif, mais en hausse de 1,5% à données comparables. L'activité gaz et services, qui représente 95% du chiffre d'affaires du groupe, s'est inscrite en hausse comparable de 1,7%, l'industriel marchand et la santé ayant été les moteurs de la croissance de cette activité. Pour l'ensemble de 2023, Air Liquide se dit confiant dans sa capacité à augmenter à nouveau sa marge opérationnelle et à réaliser une croissance du résultat net récurrent, à change constant, des perspectives 'soutenues par des décisions d'investissement record'.","['affich', 'chiffr', 'milliard', 'titr', 'troisiem', 'trimestr', 'chut', 'don', 'brut', 'fait', 'baiss', 'prix', 'effet', 'chang', 'négat', 'hauss', 'don', 'compar', 'gaz', 'servic', 'représent', 'chiffr', 'group', 'inscrit', 'hauss', 'compar', 'marchand', 'sant', 'moteur', 'croissanc', 'cet', 'activ', 'pour', 'dit', 'confi', 'capac', 'augment', 'nouveau', 'marg', 'opérationnel', 'réalis', 'croissanc', 'résultat', 'net', 'récurrent', 'chang', 'const', 'perspect', 'décis', 'record']","['Air', 'Liquide', 'affiche', 'chiffre', 'milliard', 'titre', 'troisième', 'trimestre', 'chute', 'données', 'brute', 'fait', 'baisse', 'prix', 'effet', 'change', 'négatif', 'hausse', 'données', 'comparables', 'gaz', 'service', 'représente', 'chiffre', 'groupe', 'inscrite', 'hausse', 'comparable', 'marchand', 'santé', 'moteurs', 'croissance', 'cette', 'activité', 'Pour', 'Air', 'Liquide', 'dit', 'confiant', 'capacité', 'augmenter', 'nouveau', 'marge', 'opérationnelle', 'réaliser', 'croissance', 'résultat', 'net', 'récurrent', 'change', 'constant', 'perspective', 'décisions', 'record']"
2023-10-25,"Air Liquide annonce la création d'une plateforme innovante de production de gaz bas carbone, parmi lesquels de l'hydrogène, de l'oxygène, de l'azote et de l'argon, à Bécancour, au Québec, représentant un investissement de plus de 140 millions d'euros. L'infrastructure que le groupe va mettre en place comprendra une nouvelle unité de production d'oxygène et d'azote renouvelables, ainsi qu'une capacité de stockage liquide, reliés par un réseau de canalisations local pour mieux servir ses clients. La nouvelle plateforme approvisionnera principalement, dans le cadre de contrats à long terme, des clients fabriquant des composants de batteries pour véhicules électriques. Elle devrait être opérationnelle en 2025.","['annonc', 'création', 'plateform', 'innov', 'product', 'gaz', 'bas', 'carbon', 'parm', 'lesquel', 'bécancour', 'québec', 'représent', 'invest', 'plus', 'million', 'group', 'va', 'mettr', 'plac', 'comprendr', 'nouvel', 'unit', 'product', 'renouvel', 'ains', 'capac', 'stockag', 'reli', 'réseau', 'canalis', 'local', 'mieux', 'serv', 'client', 'la', 'nouvel', 'plateform', 'approvision', 'principal', 'cadr', 'contrat', 'long', 'term', 'client', 'fabriqu', 'compos', 'batter', 'véhicul', 'électr', 'elle', 'devr', 'être', 'opérationnel']","['Air', 'Liquide', 'annonce', 'création', 'plateforme', 'innovante', 'production', 'gaz', 'ba', 'carbone', 'parmi', 'lesquels', 'Bécancour', 'Québec', 'représentant', 'investissement', 'plus', 'million', 'groupe', 'va', 'mettre', 'place', 'comprendra', 'nouvelle', 'unité', 'production', 'renouvelables', 'ainsi', 'capacité', 'stockage', 'liquide', 'reliés', 'réseau', 'canalisation', 'local', 'mieux', 'servir', 'client', 'La', 'nouvelle', 'plateforme', 'approvisionnera', 'principalement', 'cadre', 'contrats', 'long', 'terme', 'client', 'fabriquant', 'composants', 'battery', 'véhicules', 'électriques', 'Elle', 'devrait', 'être', 'opérationnelle']"
2023-10-24,"Air Liquide a annoncé mardi qu'il allait assurer 70% de ses besoins en électricité renouvelable au Benelux grâce à la signature d'un nouveau contrat de long terme avec le suédois Vattenfall. Le producteur de gaz industriels explique que ce second contrat d'achat d'énergie renouvelable (PPA) conclu avec la compagnie scandinave pour une puissance installée de 115 MW va lui permettre de renforcer significativement son approvisionnement dans la région. Signé pour une durée de 15 ans à compter de 2026, ce nouveau PPA portera la puissance installée totale de production d'électricité renouvelable à la disposition d'Air Liquide à environ 270 MW au Benelux, soit plus de 70% de sa consommation d'électricité actuelle dans la région. Cette électricité doit êtrera générée par le parc éolien offshore Hollandse Kust Zuid (HKZ) de Vattenfall, situé au large des côtes néerlandaises.","['a', 'annonc', 'mard', 'allait', 'assur', 'besoin', 'électr', 'renouvel', 'benelux', 'grâc', 'signatur', 'nouveau', 'contrat', 'long', 'term', 'suédois', 'vattenfall', 'le', 'producteur', 'gaz', 'industriel', 'expliqu', 'second', 'contrat', 'renouvel', 'ppa', 'conclu', 'compagn', 'scandinav', 'puissanc', 'install', 'mw', 'va', 'permettr', 'renforc', 'signific', 'approvision', 'région', 'sign', 'dur', 'an', 'compt', 'nouveau', 'ppa', 'port', 'puissanc', 'install', 'total', 'product', 'renouvel', 'disposit', 'environ', 'mw', 'benelux', 'plus', 'consomm', 'actuel', 'région', 'cet', 'électr', 'doit', 'êtrer', 'géner', 'parc', 'éolien', 'offshor', 'hollands', 'kust', 'zuid', 'hkz', 'vattenfall', 'situ', 'larg', 'côt', 'néerlandais']","['Air', 'Liquide', 'a', 'annoncé', 'mardi', 'allait', 'assurer', 'besoins', 'électricité', 'renouvelable', 'Benelux', 'grâce', 'signature', 'nouveau', 'contrat', 'long', 'terme', 'suédois', 'Vattenfall', 'Le', 'producteur', 'gaz', 'industriels', 'explique', 'second', 'contrat', 'renouvelable', 'PPA', 'conclu', 'compagnie', 'scandinave', 'puissance', 'installée', 'MW', 'va', 'permettre', 'renforcer', 'significativement', 'approvisionnement', 'région', 'Signé', 'durée', 'an', 'compter', 'nouveau', 'PPA', 'portera', 'puissance', 'installée', 'totale', 'production', 'renouvelable', 'disposition', 'Liquide', 'environ', 'MW', 'Benelux', 'plus', 'consommation', 'actuelle', 'région', 'Cette', 'électricité', 'doit', 'êtrera', 'générée', 'parc', 'éolien', 'offshore', 'Hollandse', 'Kust', 'Zuid', 'HKZ', 'Vattenfall', 'situé', 'large', 'côtes', 'néerlandaises']"
2023-10-20,"La pépite Air Liquide valide la cassure du support des 154,75E du 7 juillet et entame un mouvement de correction en direction de 146,5, le palier de soutien testé le 135 mars dernier. L'objectif suivant serait 142,3, le plancher du 10 fvrier dernier... niveau qui coïncide vec 50% de retracement de la hausse le 27 septembre 2022 depuis un plancher de 116E.","['la', 'pépit', 'valid', 'cassur', 'support', 'juillet', 'entam', 'mouv', 'correct', 'direct', 'pali', 'soutien', 'test', 'mar', 'derni', 'suiv', 'planch', 'fvri', 'derni', 'niveau', 'coïncid', 'vec', 'retrac', 'hauss', 'septembr', 'depuis', 'planch']","['La', 'pépite', 'Air', 'Liquide', 'valide', 'cassure', 'support', 'juillet', 'entame', 'mouvement', 'correction', 'direction', 'palier', 'soutien', 'testé', 'mar', 'dernier', 'suivant', 'plancher', 'fvrier', 'dernier', 'niveau', 'coïncide', 'vec', 'retracement', 'hausse', 'septembre', 'depuis', 'plancher']"
